geohash,no_poi,maxspeed
w21zu01,1.0,60.0
w21zu01,1.0,50.0
w21zu01,1.0,60.0
w21zu01,1.0,60.0
w21zu01,1.0,50.0
w21zu01,1.0,50.0
w21zu01,1.0,50.0
w21zu01,1.0,50.0
w21zu01,1.0,60.0
w21zu01,1.0,60.0
w21zu01,1.0,60.0
w21zu01,1.0,50.0
w21zu01,1.0,60.0
w21zu01,1.0,60.0
w21zu01,1.0,50.0
w21zu05,1.0,50.0
w21zu06,3.0,60.0
w21zu06,3.0,60.0
w21zu06,3.0,60.0
w21zu06,3.0,60.0
w21zu06,3.0,60.0
w21zu06,3.0,60.0
w21zu06,3.0,50.0
w21zu06,3.0,60.0
w21zu0f,2.0,50.0
w21zu0f,2.0,50.0
w21zu0f,2.0,50.0
w21zu0f,2.0,60.0
w21zu0f,2.0,50.0
w21zu0f,2.0,60.0
w21zu0f,2.0,50.0
w21zu0f,2.0,50.0
w21zu0f,2.0,60.0
w21zu1b,1.0,
w21zu1h,1.0,40.0
w21zu1h,1.0,40.0
w21zu1h,1.0,60.0
w21zu1h,1.0,40.0
w21zu1h,1.0,40.0
w21zu1h,1.0,60.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,60.0
w21zu1m,1.0,60.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,60.0
w21zu1m,1.0,60.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,60.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1m,1.0,50.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1q,1.0,60.0
w21zu1s,9.0,50.0
w21zu1s,9.0,50.0
w21zu1s,9.0,50.0
w21zu1s,9.0,50.0
w21zu1s,9.0,50.0
w21zu1s,9.0,50.0
w21zu1t,15.0,50.0
w21zu1t,15.0,50.0
w21zu1t,15.0,60.0
w21zu1t,15.0,60.0
w21zu1t,15.0,60.0
w21zu1t,15.0,60.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1u,6.0,50.0
w21zu1v,41.0,50.0
w21zu1v,41.0,60.0
w21zu1v,41.0,50.0
w21zu1v,41.0,50.0
w21zu1v,41.0,60.0
w21zu1v,41.0,50.0
w21zu1v,41.0,60.0
w21zu1v,41.0,60.0
w21zu1v,41.0,50.0
w21zu1v,41.0,60.0
w21zu1v,41.0,60.0
w21zu1v,41.0,60.0
w21zu1v,41.0,60.0
w21zu1v,41.0,50.0
w21zu1v,41.0,50.0
w21zu1v,41.0,60.0
w21zu1v,41.0,60.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu31,1.0,50.0
w21zu3b,2.0,60.0
w21zu3b,2.0,50.0
w21zu3b,2.0,60.0
w21zu3b,2.0,60.0
w21zu3b,2.0,60.0
w21zu3b,2.0,60.0
w21zu3c,1.0,50.0
w21zu3c,1.0,50.0
w21zu3c,1.0,50.0
w21zu3c,1.0,50.0
w21zu3c,1.0,50.0
w21zu3d,1.0,50.0
w21zu3d,1.0,50.0
w21zu3d,1.0,50.0
w21zu3d,1.0,50.0
w21zu3d,1.0,50.0
w21zu3d,1.0,50.0
w21zu40,1.0,40.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,40.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu40,1.0,50.0
w21zu42,2.0,50.0
w21zu45,1.0,
w21zu47,1.0,
w21zu4r,3.0,50.0
w21zu4r,3.0,50.0
w21zu4r,3.0,50.0
w21zu4r,3.0,50.0
w21zu4r,3.0,50.0
w21zu4r,3.0,50.0
w21zu4v,1.0,
w21zu4x,2.0,60.0
w21zu4x,2.0,50.0
w21zu4x,2.0,50.0
w21zu4x,2.0,50.0
w21zu4x,2.0,60.0
w21zu4x,2.0,50.0
w21zu4x,2.0,60.0
w21zu4y,1.0,
w21zu4z,1.0,60.0
w21zu4z,1.0,60.0
w21zu4z,1.0,60.0
w21zu4z,1.0,60.0
w21zu4z,1.0,60.0
w21zu4z,1.0,60.0
w21zu50,3.0,50.0
w21zu50,3.0,60.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu51,1.0,50.0
w21zu5f,1.0,60.0
w21zu5f,1.0,60.0
w21zu5f,1.0,50.0
w21zu5f,1.0,50.0
w21zu5f,1.0,60.0
w21zu5f,1.0,40.0
w21zu5f,1.0,60.0
w21zu5f,1.0,40.0
w21zu5f,1.0,40.0
w21zu5f,1.0,40.0
w21zu5f,1.0,40.0
w21zu5f,1.0,60.0
w21zu5f,1.0,40.0
w21zu5f,1.0,60.0
w21zu5f,1.0,60.0
w21zu5f,1.0,60.0
w21zu5f,1.0,40.0
w21zu5f,1.0,60.0
w21zu5f,1.0,60.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5s,9.0,50.0
w21zu5u,3.0,50.0
w21zu5u,3.0,50.0
w21zu5x,2.0,60.0
w21zu62,2.0,50.0
w21zu69,1.0,50.0
w21zu69,1.0,50.0
w21zu69,1.0,50.0
w21zu69,1.0,50.0
w21zu69,1.0,50.0
w21zu69,1.0,50.0
w21zu6b,2.0,
w21zu6c,2.0,
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu6s,3.0,50.0
w21zu74,1.0,70.0
w21zu7h,1.0,70.0
w21zu7h,1.0,70.0
w21zu7h,1.0,50.0
w21zu7h,1.0,70.0
w21zu7h,1.0,70.0
w21zu7h,1.0,50.0
w21zu7u,1.0,
w21zubu,1.0,60.0
w21zubu,1.0,60.0
w21zubu,1.0,60.0
w21zubu,1.0,60.0
w21zubv,2.0,50.0
w21zubv,2.0,50.0
w21zubv,2.0,60.0
w21zubv,2.0,60.0
w21zuhd,3.0,
w21zuhk,5.0,50.0
w21zuhk,5.0,50.0
w21zuhk,5.0,50.0
w21zuhk,5.0,50.0
w21zuhk,5.0,50.0
w21zuhk,5.0,50.0
w21zuhr,1.0,
w21zuhu,1.0,50.0
w21zuhu,1.0,60.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,60.0
w21zuhu,1.0,60.0
w21zuhu,1.0,60.0
w21zuhu,1.0,60.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuhu,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,40.0
w21zuj4,1.0,40.0
w21zuj4,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,50.0
w21zuj4,1.0,40.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zuj8,2.0,50.0
w21zujc,1.0,60.0
w21zujc,1.0,60.0
w21zujc,1.0,60.0
w21zujh,3.0,60.0
w21zujh,3.0,60.0
w21zujh,3.0,50.0
w21zujh,3.0,60.0
w21zujh,3.0,50.0
w21zujh,3.0,60.0
w21zujh,3.0,50.0
w21zujh,3.0,60.0
w21zujh,3.0,60.0
w21zujh,3.0,60.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujj,1.0,50.0
w21zujk,10.0,50.0
w21zujk,10.0,60.0
w21zujk,10.0,60.0
w21zujk,10.0,60.0
w21zujk,10.0,50.0
w21zujk,10.0,50.0
w21zujk,10.0,50.0
w21zujk,10.0,60.0
w21zujk,10.0,60.0
w21zujk,10.0,60.0
w21zujk,10.0,60.0
w21zujk,10.0,50.0
w21zujk,10.0,60.0
w21zujk,10.0,50.0
w21zujk,10.0,60.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujm,35.0,50.0
w21zujq,65.0,15.0
w21zujq,65.0,15.0
w21zujq,65.0,15.0
w21zujq,65.0,60.0
w21zujr,1.0,50.0
w21zujr,1.0,60.0
w21zujr,1.0,50.0
w21zujr,1.0,50.0
w21zujr,1.0,15.0
w21zujr,1.0,15.0
w21zujr,1.0,15.0
w21zujr,1.0,60.0
w21zujr,1.0,15.0
w21zujr,1.0,15.0
w21zujr,1.0,50.0
w21zujr,1.0,50.0
w21zujr,1.0,50.0
w21zujr,1.0,60.0
w21zujr,1.0,50.0
w21zujr,1.0,50.0
w21zujr,1.0,60.0
w21zujr,1.0,60.0
w21zujt,9.0,50.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,50.0
w21zujt,9.0,50.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,50.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,60.0
w21zujt,9.0,50.0
w21zuju,5.0,
w21zujw,2.0,60.0
w21zujw,2.0,60.0
w21zujw,2.0,60.0
w21zuk4,4.0,60.0
w21zuk4,4.0,60.0
w21zuk4,4.0,60.0
w21zuk4,4.0,60.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk5,1.0,50.0
w21zuk7,1.0,50.0
w21zuk7,1.0,50.0
w21zuk7,1.0,50.0
w21zuk7,1.0,50.0
w21zuk7,1.0,50.0
w21zukh,3.0,
w21zukj,2.0,70.0
w21zukj,2.0,70.0
w21zukn,1.0,
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,50.0
w21zum4,1.0,50.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zum4,1.0,60.0
w21zumc,1.0,40.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,40.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,40.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zumc,1.0,50.0
w21zume,1.0,50.0
w21zume,1.0,50.0
w21zume,1.0,50.0
w21zume,1.0,50.0
w21zumk,4.0,50.0
w21zumk,4.0,50.0
w21zumk,4.0,50.0
w21zumk,4.0,50.0
w21zumk,4.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,40.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zumm,2.0,40.0
w21zumm,2.0,50.0
w21zumm,2.0,50.0
w21zums,1.0,50.0
w21zums,1.0,40.0
w21zums,1.0,40.0
w21zums,1.0,40.0
w21zums,1.0,40.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun0,2.0,50.0
w21zun1,1.0,
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun2,5.0,50.0
w21zun3,4.0,50.0
w21zun3,4.0,50.0
w21zun3,4.0,50.0
w21zun5,5.0,
w21zun8,1.0,50.0
w21zun8,1.0,50.0
w21zun9,1.0,50.0
w21zund,6.0,50.0
w21zund,6.0,50.0
w21zunh,8.0,50.0
w21zunh,8.0,50.0
w21zunh,8.0,50.0
w21zunh,8.0,50.0
w21zunh,8.0,50.0
w21zunj,1.0,60.0
w21zunj,1.0,60.0
w21zunj,1.0,60.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,60.0
w21zunj,1.0,60.0
w21zunj,1.0,60.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,60.0
w21zunj,1.0,50.0
w21zunj,1.0,50.0
w21zunj,1.0,60.0
w21zunj,1.0,50.0
w21zunj,1.0,60.0
w21zunj,1.0,60.0
w21zunr,1.0,50.0
w21zunr,1.0,50.0
w21zunr,1.0,50.0
w21zunr,1.0,50.0
w21zunr,1.0,50.0
w21zunr,1.0,50.0
w21zup2,1.0,
w21zup5,1.0,
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zup7,2.0,50.0
w21zupk,1.0,50.0
w21zupk,1.0,50.0
w21zupk,1.0,50.0
w21zupk,1.0,50.0
w21zupk,1.0,50.0
w21zupq,2.0,50.0
w21zupq,2.0,50.0
w21zupq,2.0,50.0
w21zupz,3.0,60.0
w21zupz,3.0,60.0
w21zupz,3.0,60.0
w21zupz,3.0,50.0
w21zupz,3.0,60.0
w21zupz,3.0,60.0
w21zupz,3.0,60.0
w21zupz,3.0,60.0
w21zuqn,2.0,
w21zuqp,5.0,
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqw,1.0,50.0
w21zuqy,1.0,50.0
w21zure,2.0,60.0
w21zurf,1.0,50.0
w21zurf,1.0,50.0
w21zurf,1.0,50.0
w21zurf,1.0,60.0
w21zurf,1.0,50.0
w21zurf,1.0,60.0
w21zurf,1.0,60.0
w21zurf,1.0,60.0
w21zurf,1.0,50.0
w21zurf,1.0,60.0
w21zurf,1.0,50.0
w21zurf,1.0,50.0
w21zurf,1.0,60.0
w21zurf,1.0,60.0
w21zurf,1.0,50.0
w21zurf,1.0,50.0
w21zurf,1.0,60.0
w21zurf,1.0,60.0
w21zurf,1.0,60.0
w21zurg,15.0,60.0
w21zurg,15.0,60.0
w21zurg,15.0,60.0
w21zurg,15.0,60.0
w21zurg,15.0,60.0
w21zurg,15.0,60.0
w21zurw,5.0,60.0
w21zurw,5.0,60.0
w21zurw,5.0,60.0
w21zurw,5.0,60.0
w21zurw,5.0,60.0
w21zurw,5.0,60.0
w21zurx,5.0,
w21zurz,1.0,60.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,60.0
w21zurz,1.0,60.0
w21zurz,1.0,60.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,60.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,60.0
w21zurz,1.0,50.0
w21zurz,1.0,60.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zurz,1.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zute,3.0,50.0
w21zutg,3.0,
w21zutm,1.0,50.0
w21zutm,1.0,50.0
w21zutm,1.0,50.0
w21zutm,1.0,50.0
w21zutt,1.0,50.0
w21zutt,1.0,50.0
w21zutt,1.0,50.0
w21zutt,1.0,50.0
w21zutw,4.0,50.0
w21zutx,1.0,
w21zuty,1.0,60.0
w21zuty,1.0,60.0
w21zuty,1.0,60.0
w21zuw0,2.0,50.0
w21zuw0,2.0,50.0
w21zuw7,1.0,50.0
w21zuw7,1.0,60.0
w21zuw7,1.0,60.0
w21zuw7,1.0,40.0
w21zuw7,1.0,60.0
w21zuwc,1.0,60.0
w21zuwc,1.0,60.0
w21zuwc,1.0,60.0
w21zuwc,1.0,60.0
w21zuwc,1.0,60.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwr,1.0,50.0
w21zuwv,3.0,50.0
w21zuwv,3.0,50.0
w21zuwv,3.0,50.0
w21zuwy,1.0,
w21zux7,3.0,
w21zux8,2.0,50.0
w21zux8,2.0,50.0
w21zuxe,1.0,
w21zuxf,1.0,50.0
w21zuxf,1.0,40.0
w21zuxf,1.0,40.0
w21zuxm,1.0,50.0
w21zuxm,1.0,50.0
w21zuxm,1.0,50.0
w21zuxm,1.0,50.0
w21zuxm,1.0,50.0
w21zuxm,1.0,50.0
w21zuxu,1.0,
w21zuy4,1.0,
w21zuy8,1.0,
w21zuzr,1.0,
w21zv1b,2.0,70.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv1c,3.0,50.0
w21zv25,2.0,
w21zv2j,1.0,
w21zv2n,1.0,
w21zv2s,3.0,
w21zv2t,1.0,
w21zv2w,1.0,90.0
w21zv38,1.0,50.0
w21zv38,1.0,50.0
w21zv38,1.0,50.0
w21zv38,1.0,50.0
w21zv38,1.0,50.0
w21zv3e,1.0,50.0
w21zv3e,1.0,50.0
w21zv3e,1.0,60.0
w21zv3e,1.0,60.0
w21zv3e,1.0,60.0
w21zv3e,1.0,50.0
w21zv3e,1.0,50.0
w21zv3e,1.0,50.0
w21zv3e,1.0,50.0
w21zv3k,1.0,50.0
w21zv3v,3.0,50.0
w21zv3v,3.0,50.0
w21zv3v,3.0,50.0
w21zv3v,3.0,50.0
w21zv3v,3.0,50.0
w21zv3v,3.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv3y,6.0,50.0
w21zv41,10.0,
w21zv44,2.0,50.0
w21zv4k,2.0,50.0
w21zv4k,2.0,50.0
w21zv5h,4.0,50.0
w21zv5h,4.0,50.0
w21zv6b,5.0,60.0
w21zv6j,2.0,
w21zv6p,1.0,
w21zv6q,2.0,60.0
w21zv6q,2.0,60.0
w21zv6q,2.0,60.0
w21zv6q,2.0,50.0
w21zv6q,2.0,60.0
w21zv6q,2.0,50.0
w21zv6r,1.0,50.0
w21zv6r,1.0,60.0
w21zv6r,1.0,60.0
w21zv6r,1.0,60.0
w21zv6r,1.0,60.0
w21zv6r,1.0,60.0
w21zv6r,1.0,60.0
w21zv6x,6.0,
w21zv6y,1.0,
w21zv6z,1.0,
w21zv70,2.0,50.0
w21zv70,2.0,60.0
w21zv70,2.0,60.0
w21zv70,2.0,50.0
w21zv70,2.0,60.0
w21zv70,2.0,50.0
w21zv70,2.0,50.0
w21zv70,2.0,50.0
w21zv70,2.0,60.0
w21zv70,2.0,60.0
w21zv7f,2.0,50.0
w21zv7n,2.0,
w21zv7p,2.0,
w21zv7r,1.0,
w21zv7w,1.0,
w21zv7x,1.0,
w21zv82,4.0,
w21zv83,3.0,90.0
w21zv85,1.0,90.0
w21zv95,1.0,60.0
w21zv95,1.0,50.0
w21zv95,1.0,50.0
w21zv95,1.0,60.0
w21zv95,1.0,60.0
w21zv95,1.0,60.0
w21zv95,1.0,50.0
w21zv95,1.0,60.0
w21zv97,5.0,50.0
w21zv97,5.0,50.0
w21zv97,5.0,50.0
w21zv97,5.0,50.0
w21zv97,5.0,50.0
w21zv97,5.0,50.0
w21zv9h,5.0,60.0
w21zv9h,5.0,60.0
w21zv9h,5.0,50.0
w21zv9h,5.0,50.0
w21zv9h,5.0,50.0
w21zv9h,5.0,60.0
w21zv9h,5.0,50.0
w21zv9j,1.0,60.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zv9j,1.0,50.0
w21zvb8,1.0,
w21zvbb,2.0,50.0
w21zvbb,2.0,50.0
w21zvbb,2.0,50.0
w21zvbb,2.0,50.0
w21zvbb,2.0,50.0
w21zvbd,1.0,70.0
w21zvbd,1.0,60.0
w21zvbd,1.0,50.0
w21zvbd,1.0,50.0
w21zvbd,1.0,60.0
w21zvbd,1.0,70.0
w21zvbd,1.0,50.0
w21zvbd,1.0,50.0
w21zvbd,1.0,70.0
w21zvbd,1.0,60.0
w21zvbd,1.0,60.0
w21zvbd,1.0,70.0
w21zvbd,1.0,50.0
w21zvbd,1.0,50.0
w21zvbd,1.0,50.0
w21zvbd,1.0,70.0
w21zvbd,1.0,70.0
w21zvbd,1.0,50.0
w21zvbd,1.0,50.0
w21zvbu,2.0,
w21zvcj,1.0,
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvcs,1.0,50.0
w21zvd3,1.0,60.0
w21zvd3,1.0,60.0
w21zvd9,11.0,
w21zvdb,1.0,
w21zvdc,3.0,
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdd,2.0,50.0
w21zvdp,1.0,60.0
w21zvdp,1.0,60.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zvdu,1.0,50.0
w21zve0,2.0,
w21zve1,1.0,
w21zveh,1.0,50.0
w21zvek,1.0,
w21zveq,1.0,
w21zvk1,1.0,
w21zvx5,1.0,
w21zvx9,1.0,
w21zvxb,1.0,
w21zvxg,2.0,40.0
w21zvxu,1.0,
w21zvxy,2.0,40.0
w21zvxy,2.0,40.0
w21zvxy,2.0,40.0
w21zvz1,1.0,
w21zvz4,1.0,40.0
w21zvz6,1.0,40.0
w21zvz6,1.0,40.0
w21zvz6,1.0,40.0
w21zvz7,2.0,40.0
w21zvz7,2.0,40.0
w21zvz7,2.0,40.0
w21zvz7,2.0,40.0
w21zvz7,2.0,40.0
w21zvz9,1.0,
w21zvzk,2.0,40.0
w21zvzk,2.0,40.0
w21zvzk,2.0,40.0
w21zvzk,2.0,40.0
w21zvzk,2.0,40.0
w21zvzk,2.0,40.0
w21zvzm,1.0,40.0
w21zvzm,1.0,40.0
w21zvzm,1.0,40.0
w21zvzm,1.0,40.0
w21zvzq,1.0,
w21zw5m,1.0,5.0
w21zw5m,1.0,50.0
w21zw5m,1.0,50.0
w21zw5m,1.0,50.0
w21zw5m,1.0,50.0
w21zw5m,1.0,50.0
w21zw5w,9.0,
w21zwbz,1.0,
w21zwhp,2.0,
w21zwnx,1.0,
w21zwq0,1.0,40.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq0,1.0,50.0
w21zwq1,2.0,40.0
w21zwq1,2.0,50.0
w21zwq2,1.0,50.0
w21zwq2,1.0,50.0
w21zwq2,1.0,50.0
w21zwq2,1.0,40.0
w21zwq3,1.0,50.0
w21zwq3,1.0,50.0
w21zwq3,1.0,50.0
w21zwq3,1.0,50.0
w21zwq6,8.0,
w21zwq7,1.0,
w21zwq8,1.0,
